기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,f
20250422,4960,한신공영,KOSPI,,7030,-180,-2.5,7220,7360,7000,89486,6.4,813,11570702,860,94.5,
20250422,68930,디지털대성,KOSDAQ,우량기업부,7390,-10,-0.14,7310,7450,7310,5574,0.4,2045,27675342,2167,94.4,0%
20250422,88980,맥쿼리인프라,KOSPI,,11250,20,0.18,11200,11250,11180,606624,68,53879,478921993,57088,94.4,0%
20250422,148250,알엔투테크놀로지,KOSDAQ,벤처기업부,8330,-150,-1.77,8550,8590,8150,76690,6.4,787,9446672,835,94.3,
20250422,417310,코람코더원리츠,KOSPI,,4920,-30,-0.61,4925,4935,4895,18850,0.9,1988,40400000,2109,94.3,0%
20250422,6220,제주은행,KOSPI,,10970,170,1.57,11300,11930,10780,2698569,306.2,3525,32128774,5080,69.4,9%
20250422,44450,KSS해운,KOSPI,,9070,50,0.55,9020,9100,8870,32392,2.9,2094,23085880,2223,94.2,0%
20250422,214260,라파스,KOSDAQ,기술성장기업부,15750,1580,11.15,14150,18140,14000,706938,117,1405,8922463,2522,55.7,8%
20250422,67830,세이브존I&C,KOSPI,,2270,10,0.44,2250,2275,2250,18597,0.4,932,41040895,989,94.2,
20250422,65660,안트로젠,KOSDAQ,기술성장기업부,20850,-50,-0.24,20800,21050,20400,10548,2.2,2086,10006100,2214,94.2,0%
20250422,54940,엑사이엔씨,KOSDAQ,중견기업부,825,-5,-0.6,822,830,805,107816,0.9,274,33173548,291,94.2,
20250422,34950,한국기업평가,KOSDAQ,우량기업부,88700,300,0.34,88900,88900,87700,2509,2.2,4027,4540514,4277,94.2,0%
20250422,51390,YW,KOSDAQ,벤처기업부,3665,35,0.96,3650,3675,3630,8144,0.3,416,11355368,442,94.1,
20250422,60260,뉴보텍,KOSDAQ,벤처기업부,1784,-71,-3.83,1855,1885,1761,686895,12.4,241,13512009,256,94.1,
20250422,29530,신도리코,KOSPI,,39600,250,0.64,39350,39850,39000,3508,1.4,3992,10080029,4244,94.1,0%
20250422,289220,자이언트스텝,KOSDAQ,기술성장기업부,7170,1650,29.89,5700,7170,5510,1940886,131.4,1600,22312221,2135,74.9,8%
20250422,10770,평화홀딩스,KOSPI,,9120,-1010,-9.97,10160,10340,9050,1143884,108.4,1334,14625466,2071,64.4,8%
20250422,129260,인터지스,KOSPI,,2850,-180,-5.94,3040,3040,2825,351703,10.2,848,29747874,901,94.1,
20250422,80420,모다이노칩,KOSDAQ,중견기업부,2250,-40,-1.75,2290,2290,2235,2274,0.1,1794,79721622,1909,94,0%
20250422,19440,세아특수강,KOSPI,,13400,80,0.6,13320,13420,13270,7557,1,1148,8570000,1221,94,0%
20250422,39420,케이엘넷,KOSDAQ,중견기업부,2595,-30,-1.14,2605,2635,2580,47025,1.2,627,24154730,667,94,
20250422,380540,옵티코어,KOSDAQ,벤처기업부,1751,44,2.58,1690,1780,1623,454840,7.8,689,39338196,734,93.9,
20250422,27830,대성창투,KOSDAQ,중견기업부,2555,-225,-8.09,2750,2750,2535,4253808,111.4,1380,54000000,1501,91.9,8%
20250422,94170,동운아나텍,KOSDAQ,벤처기업부,20050,-50,-0.25,19960,20250,19840,103735,20.8,4192,20909936,4471,93.8,0%
20250422,264900,크라운제과,KOSPI,,8410,-270,-3.11,9490,9740,8410,921882,83.9,1053,12523850,1395,75.5,8%
20250422,3690,코리안리,KOSPI,,7970,20,0.25,7900,7990,7850,294625,23.3,15527,194821031,16560,93.8,0%
20250422,24110,기업은행,KOSPI,,14800,100,0.68,14680,14800,14610,731380,107.9,118019,797425869,125993,93.7,0%
20250422,215600,신라젠,KOSDAQ,중견기업부,3170,730,29.92,3010,3170,2865,11224023,345,4355,137367125,4963,87.7,8%
20250422,97780,에코볼트,KOSDAQ,중견기업부,1038,-12,-1.14,1050,1077,1001,143443,1.5,703,67730338,750,93.7,
20250422,37550L,DL이앤씨2우(전환),KOSPI,,26400,-150,-0.56,26500,26700,26350,1837,0.5,558,2111951,596,93.6,
20250422,120030,조선선재,KOSPI,,96700,900,0.94,95800,96800,95600,532,0.5,1216,1257651,1299,93.6,0%
20250422,36180,지더블유바이텍,KOSDAQ,투자주의환기종목(소속부없음),577,0,0,0,0,0,0,0,539,93464524,576,93.6,
20250422,111710,남화산업,KOSDAQ,중견기업부,5210,70,1.36,5240,5240,5040,3896,0.2,1073,20588000,1147,93.5,0%
20250422,67730,로지시스,KOSDAQ,중견기업부,3105,-70,-2.2,3170,3265,3045,53876,1.7,300,9673922,321,93.5,
20250422,227840,현대코퍼레이션홀딩스,KOSPI,,10940,50,0.46,10890,10950,10830,8160,0.9,996,9100836,1065,93.5,
20250422,322180,LS티라유텍,KOSDAQ,벤처기업부,5130,-10,-0.19,5130,5240,5070,51381,2.6,1073,20921984,1149,93.4,0%
20250422,11390,부산산업,KOSPI,,87300,-100,-0.11,85500,89200,85500,19312,17,922,1056000,987,93.4,
20250422,30000,제일기획,KOSPI,,18190,10,0.06,18220,18230,18090,107278,19.5,20926,115041225,22399,93.4,0%
20250422,2230,피에스텍,KOSDAQ,중견기업부,3870,15,0.39,3910,3930,3870,9972,0.4,746,19273820,799,93.4,
20250422,208370,셀바스헬스케어,KOSDAQ,벤처기업부,4880,-180,-3.56,4950,5140,4860,1926962,95.8,1256,25740564,1483,84.7,8%
20250422,84180,수성웹툰,KOSDAQ,중견기업부,5680,-70,-1.22,5690,5880,5580,70754,4,1019,17947011,1092,93.3,0%
20250422,4920,씨아이테크,KOSPI,,1563,-112,-6.69,1669,1697,1383,2633730,39.3,783,50065793,839,93.3,
20250422,4650,창해에탄올,KOSDAQ,중견기업부,9490,-50,-0.52,9510,9870,9430,129647,12.4,872,9190885,935,93.3,
20250422,106080,케이이엠텍,KOSDAQ,중견기업부,1938,-87,-4.3,2025,2070,1925,135403,2.7,487,25135465,522,93.3,
20250422,92460,한라IMS,KOSDAQ,우량기업부,8870,110,1.26,8690,9020,8670,57381,5.1,1518,17109680,1627,93.3,0%
20250422,9200,무림페이퍼,KOSPI,,2160,70,3.35,2090,2400,2090,8760751,196.8,899,41609310,965,93.2,
20250422,16360,삼성증권,KOSPI,,47250,1250,2.72,45900,47600,45800,260893,122.8,42194,89300000,45275,93.2,0%
20250422,70590,한솔인티큐브,KOSDAQ,중견기업부,1775,-127,-6.68,1899,1900,1741,219000,4,246,13879521,264,93.2,
20250422,27410,BGF,KOSPI,,3515,50,1.44,3425,3765,3425,354345,12.7,3364,95716791,3613,93.1,0%
20250422,9970,영원무역홀딩스,KOSPI,,93000,-100,-0.11,93900,94300,90900,10318,9.7,12681,13635592,13622,93.1,0%
20250422,95190,이엠코리아,KOSDAQ,중견기업부,2160,-10,-0.46,2170,2185,2155,44085,1,1410,65260462,1516,93,0%
20250422,34590,인천도시가스,KOSPI,,24550,100,0.41,24550,24600,24400,2675,0.7,1074,4374754,1155,93,0%
20250422,377190,디앤디플랫폼리츠,KOSPI,,3130,-50,-1.57,3185,3190,3110,68078,2.1,2767,88400000,2979,92.9,0%
20250422,313760,캐리,KOSDAQ,투자주의환기종목(소속부없음),6470,0,0,6540,6600,6270,25609,1.7,659,10182927,710,92.8,
20250422,38500,삼표시멘트,KOSDAQ,우량기업부,3150,-45,-1.41,3485,3560,3145,7615126,257.2,3399,107916306,3880,87.6,8%
20250422,79960,동양이엔피,KOSDAQ,우량기업부,19980,50,0.25,19930,20150,19760,15905,3.2,1570,7860000,1694,92.7,0%
20250422,8110,대동전자,KOSPI,,15040,0,0,0,0,0,0,0,1578,10490447,1705,92.6,
20250422,268280,미원에스씨,KOSPI,,151900,3100,2.08,149100,153500,148900,1859,2.8,7595,5000000,8200,92.6,0%
20250422,4890,동일산업,KOSPI,,41050,-250,-0.61,41300,41300,40700,855,0.4,996,2425215,1077,92.5,
20250422,94800,맵스리얼티1,KOSPI,,4260,15,0.35,4245,4265,4225,43975,1.9,3955,92834331,4275,92.5,0%
20250422,75130,플랜티넷,KOSDAQ,벤처기업부,3540,-120,-3.28,3620,3725,3460,1248632,44.7,588,16622320,636,92.5,
20250422,5680,삼영전자,KOSPI,,10280,120,1.18,10160,10280,10100,11224,1.2,2056,20000000,2224,92.4,0%
20250422,415640,KB발해인프라,KOSPI,,7510,-10,-0.13,7520,7520,7450,13069,1,9203,122545548,9975,92.3,0%
20250422,285490,노바텍,KOSDAQ,우량기업부,22400,-1400,-5.88,24100,24950,21650,760688,176.2,2369,10575831,2681,88.4,7%
20250422,30610,교보증권,KOSPI,,6300,160,2.61,6120,6340,6120,218349,13.7,7180,113962961,7784,92.2,0%
20250422,14440,영보화학,KOSPI,,5260,-560,-9.62,5700,5870,5220,1320558,72.7,1052,20000000,1164,90.4,7%
20250422,2170,삼양통상,KOSPI,,47200,-100,-0.21,47300,47650,46900,3296,1.6,1416,3000000,1536,92.2,0%
20250422,99750,이지케어텍,KOSDAQ,벤처기업부,18090,200,1.12,17890,18600,17700,26451,4.8,1236,6834776,1340,92.2,0%
20250422,381970,케이카,KOSPI,,13830,-30,-0.22,13870,13870,13540,59921,8.2,6664,48182073,7227,92.2,0%
20250422,54540,삼영엠텍,KOSDAQ,중견기업부,5120,80,1.59,4990,5220,4980,111305,5.7,666,13000000,723,92.1,
20250422,190650,코리아에셋투자증권,KOSDAQ,우량기업부,6390,90,1.43,6300,6390,6200,12889,0.8,408,6388000,443,92.1,
20250422,3650,미창석유,KOSPI,,99400,200,0.2,99300,101600,98600,1506,1.5,1729,1739672,1879,92,0%
20250422,340440,세림B&G,KOSDAQ,벤처기업부,1591,367,29.98,1321,1591,1265,4876478,73.2,451,28378364,490,92,
20250422,7110,일신석재,KOSPI,,2295,-50,-2.13,2315,2360,2270,5160095,119.4,1778,77456610,2006,88.6,7%
