기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수
20250508,031860,디에이치엑스컴퍼니,KOSDAQ,투자주의환기종목(소속부없음),1320,20,1.54,1300,1390,1294,129473,1.7,227.0,17172021,293.0,77.5
20250508,196490,디에이테크놀로지,KOSDAQ,투자주의환기종목(소속부없음),203,0,0.0,0,0,0,0,0.0,362.0,178549360,362.0,100.0
20250508,066900,디에이피,KOSDAQ,중견기업부,2550,50,2.0,2510,2575,2470,10531,0.3,580.0,22744503,580.0,100.0
20250508,092070,디엔에프,KOSDAQ,우량기업부,11270,270,2.45,11240,11370,11080,16148,1.8,1304.0,11571858,1347.0,96.8
20250508,039840,디오,KOSDAQ,중견기업부,20650,770,3.87,19880,20700,19880,161804,33.0,3094.0,14981755,3094.0,100.0
20250508,013570,디와이,KOSPI,,3990,45,1.14,3945,3990,3940,23422,0.9,1050.0,26319633,1074.0,97.8
20250508,024900,디와이덕양,KOSPI,,2785,30,1.09,2755,2785,2755,36895,1.0,907.0,32564980,949.0,95.6
20250508,310870,디와이씨,KOSDAQ,벤처기업부,1489,-21,-1.39,1494,1504,1474,99395,1.5,308.0,20687271,317.0,97.2
20250508,210540,디와이파워,KOSPI,,11640,-90,-0.77,11780,11780,11570,14695,1.7,1285.0,11041708,1349.0,95.3
20250508,104460,디와이피엔에프,KOSDAQ,우량기업부,14790,270,1.86,14510,14800,14510,31235,4.6,1585.0,10713625,1658.0,95.6
20250508,079810,디이엔티,KOSDAQ,우량기업부,5730,70,1.24,5660,5750,5660,54175,3.1,1262.0,22028094,1306.0,96.6
20250508,113810,디젠스,KOSDAQ,중견기업부,1420,-98,-6.46,1517,1517,1416,1601764,23.1,463.0,32628051,716.0,64.7
20250508,043360,디지아이,KOSDAQ,벤처기업부,1982,0,0.0,1963,2020,1961,9000,0.2,178.0,9000000,183.0,97.3
20250508,197140,디지캡,KOSDAQ,벤처기업부,2420,60,2.54,2335,2420,2335,10213,0.2,315.0,13013154,349.0,90.3
20250508,068930,디지털대성,KOSDAQ,우량기업부,7590,-10,-0.13,7600,7600,7510,4955,0.4,2101.0,27675342,2114.0,99.4
20250508,033130,디지틀조선,KOSDAQ,중견기업부,1712,-24,-1.38,1732,1748,1709,154210,2.6,635.0,37115267,670.0,94.8
20250508,105740,디케이락,KOSDAQ,우량기업부,7540,-280,-3.58,7750,7890,7510,124613,9.5,767.0,10168513,846.0,90.7
20250508,263020,디케이앤디,KOSDAQ,벤처기업부,2965,-30,-1.0,2970,3005,2955,89049,2.6,430.0,14499831,455.0,94.5
20250508,290550,디케이티,KOSDAQ,우량기업부,7070,60,0.86,6960,7120,6960,30417,2.1,1414.0,20001230,1570.0,90.1
20250508,066670,디티씨,KOSDAQ,중견기업부,3145,-5,-0.16,3150,3150,3110,23781,0.7,588.0,18691918,589.0,99.8
20250508,187220,디티앤씨,KOSDAQ,중견기업부,2820,35,1.26,2785,2825,2750,32732,0.9,330.0,11698021,396.0,83.3
20250508,383930,디티앤씨알오,KOSDAQ,중견기업부,4230,15,0.36,4260,4270,4145,309536,13.0,541.0,12784128,1140.0,47.5
20250508,131180,딜리,KOSDAQ,벤처기업부,1061,18,1.73,1043,1064,1038,53346,0.6,311.0,29350000,311.0,100.0
20250508,315640,딥노이드,KOSDAQ,기술성장기업부,6800,-60,-0.87,6950,7000,6730,141584,9.7,1525.0,22421268,1890.0,80.7
