기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,ㄴ
20250507,330590,롯데리츠,KOSPI,,3620,-15,-0.41,3645,3665,3605,184319,6.7,10461,288968884,10504,99.6,0%
20250507,336260,두산퓨얼셀,KOSPI,,15560,620,4.15,14980,15740,14950,285646,44,10191,65493726,10492,97.1,0%
20250507,17960,한국카본,KOSPI,,20200,510,2.59,19690,20300,19410,408779,81.2,10486,51908452,10486,100,1%
20250507,82640,동양생명,KOSPI,,5630,-340,-5.7,6020,6030,5420,665240,37.3,9084,161358585,10424,87.1,0%
20250507,5300,롯데칠성,KOSPI,,106900,-2400,-2.2,110300,110900,105200,30765,33.1,9919,9278884,10411,95.3,0%
20250507,298020,효성티앤씨,KOSPI,,239000,0,0,242500,243500,233500,7929,19,10343,4327682,10386,99.6,0%
20250507,9240,한샘,KOSPI,,41400,-600,-1.43,42400,42750,41400,19253,8.1,9743,23533928,10355,94.1,0%
20250507,1120,LX인터내셔널,KOSPI,,26700,200,0.75,26500,26850,26400,114009,30.5,10349,38760000,10349,100,0%
20250507,84370,유진테크,KOSDAQ,우량기업부,34300,100,0.29,34500,34550,34000,69181,23.6,7860,22916042,10312,76.2,0%
20250507,226950,올릭스,KOSDAQ,기술성장기업부,47800,-4200,-8.08,50900,51100,47400,643802,311.8,9453,19775322,10283,91.9,3%
20250507,204270,제이앤티씨,KOSDAQ,중견기업부,14450,600,4.33,13770,14790,13740,241281,34.6,8359,57848466,10268,81.4,0%
20250507,4490,세방전지,KOSPI,,68000,-1800,-2.58,70400,70400,66500,51652,34.8,9520,14000000,10206,93.3,0%
20250507,77970,STX엔진,KOSPI,,24600,450,1.86,24200,24700,24200,150542,36.9,9876,40148063,10057,98.2,0%
20250507,23590,다우기술,KOSPI,,21750,350,1.64,21450,21750,21300,137802,29.3,9758,44866617,10005,97.5,0%
20250507,67160,SOOP,KOSDAQ GLOBAL,우량기업부,83300,-800,-0.95,84400,85300,82200,84340,70.6,9575,11494767,10000,95.8,1%
20250507,500,가온전선,KOSPI,,60300,200,0.33,59900,61200,58200,113093,68.1,9975,16543115,9975,100,1%
20250507,161580,필옵틱스,KOSDAQ,중견기업부,32200,1550,5.06,30900,32450,30650,441109,140.6,7369,22885732,9974,73.9,2%
20250507,1740,SK네트웍스,KOSPI,,4190,-40,-0.95,4260,4270,4185,236686,10,9272,221277902,9792,94.7,0%
20250507,5180,빙그레,KOSPI,,91800,-1100,-1.18,93500,94400,90600,54570,50.5,9043,9851241,9753,92.7,1%
